"Severity","Code","Entity","Field","Message"
"Info","PROVISIONAL_STANDARD","STD-01","Provisional","Reference hours are provisional; synthetic hours are not production evidence."
"Info","PROVISIONAL_STANDARD","STD-02","Provisional","Reference hours are provisional; synthetic hours are not production evidence."
"Info","PROVISIONAL_STANDARD","STD-03","Provisional","Reference hours are provisional; synthetic hours are not production evidence."
"Error","UNAVAILABLE_DAY","002|2026-09-11","Hours","Work on unavailable day."
"Error","OVER_CAPACITY","002|2026-09-11","Hours","Allocated 2 h exceeds available 0 h."
"Warning","OPEN_QUESTION","Q-001","Status","warm-up の開始条件・終了条件（期間・トリガー）が sources.md に明示されていない。warm-up をどのように検出・判定するか？"
"Warning","OPEN_QUESTION","Q-002","Status","3 consecutive cycles のカウントは Warning 遷移後もリセットされずに継続するか、それとも Warning 遷移時点でリセットするか？"
"Warning","OPEN_QUESTION","Q-003","Status","調査工数の根拠が合成参照例のみ（2人時）。実コードの規模・構造が不明なため、調査完了後に再見積が必要か？"
"Warning","OPEN_QUESTION","Q-004","Status","実装工数（6人時）はQ-001・Q-002の回答に依存する。warm-up判定ロジックの複雑度によっては増減の可能性がある。QA解決後に再見積すること。"
"Warning","OPEN_QUESTION","Q-005","Status","本日程は合成固定期間（2026-09-07〜2026-09-25）に基づく暫定計画。Q-001・Q-002が未解決のため、QA回答後に工数・日程の再見積が必要。計画全体の確定前にQAをクローズすること。"
